arabic_ques,category,name_category,syrian_dialect_ques
مرحبا  _ أنا هنا لمساعدتك..أريد منك توضيح ماهي مشاعرك الآن؟,1,الشعور في وقت الجلسة,مرحبا _ انا هون حتى ساعدك بدي  توضحلي شو عم تحس هلق
مرحبا  _ بداية كيف تشعر الآن؟ صف ليك حالتك الآن؟,1,الشعور في وقت الجلسة,مرحبا _  بداية بدي تقلي كيف عم تحس ب هاللحظة؟ وصفلي حالتك هلق؟
أهلا _  في البداية اريد منك أن تصف لي شعورك الآن؟,1,الشعور في وقت الجلسة,أهلا وسهلا _  بدي توصفلي شعورك حاليا؟
الآن أود منك أن تصف لي كيف هو مزاجك العام خلال يومك؟ ,2,الشعور خلال اليوم,هلق بدي اطلب منك توصفلي مزاجك العام خلال يومك؟
بالنظر إلى مشاعرك خلال يومك هل تعتقد أنك تعاني من مشكلة نفسية تجعل شعورك ليس جيدا؟ إذا  كنت تعتقد ذلك عليك أن تشرح لي ماهو شعورك العام؟,2,الشعور خلال اليوم,بالنسبة لمشاعرك خلال اليوم بتعتقد انك عم تعاني من مشكلة نفسية بتخليك تحس انك مو منيح؟ إذا متاكد من شعور حاول تشرحلي شعورك العام
هل تشعر بأي مشاعر سلبية أثناء يومك؟ وضح لي ماهي مشاعرك؟,2,الشعور خلال اليوم,حاسس بأي مشاعر سلبية خلال يومك؟ وضحلي مشاعرك؟
خلال يومك وبعدم النظر إلى عوامل محددة كيف يمكنك أن تصف لي حالتك النفسية؟,2,الشعور خلال اليوم,خلال يومك وبغض النظر عن عومل معينة كيف بتقدر توصفلي حالتك النفسية
كيف يمكنك أنت تصف لي مدى راحتك أثناء تأديتك لأي نشاط يومي معتاد؟,3,الشعور أثناء تأدية نشاط ما,كيف بتقدر توصفلي قديه انت مرتاح لما بتقوم بنشاط يومي معتاد؟
إذا كنت تعتقد انك لست مرتاحا عند قيامك بأي نشاط يجب أن تقوم بتوضيح ذلك؟,3,الشعور أثناء تأدية نشاط ما,إذا حاسس انك جدا مو مرتاح لما تعمل اي نشاط ممكن تشرحلي أكتر عن هالموضوع؟
عند قيامك بنشاط اعتيادي  كيف تجد نفسك؟ صف ليك ما هو شعورك؟,3,الشعور أثناء تأدية نشاط ما,لما تعمل نشاط اعتيادي كيف بتشوف حالك؟ وصفلي مشاعرك؟
كيف تجد نفسك عند قيامك بعمل ما اعتدت على القيام به؟,3,الشعور أثناء تأدية نشاط ما,كيف بتلاقي حالك لما تعمل شي تعودت تعملو من قبل؟
ماذا تشعر عند تأديتك لنشاط ما؟,3,الشعور أثناء تأدية نشاط ما,شو بتحس لما بتقوم بنشط ما؟
عند قيامك بشيء تحبه كيف تكون حالتك النفسية حينها؟,4,الشعور عند القيام بأشطة مرغوبة,لما تعمل شي بتحبه كيف بتكون حالتك النفسية؟
بالنظر إلى نشاطاتك المفضلة ماهو شعورك حيالها؟,4,الشعور عند القيام بأشطة مرغوبة,بالنسية لنشاطاتك المفضلة شو شعورك تجاها؟
رغباتك ونشاطتك التي تجلب لك السعادة كيف يكون مزاجك عند تأديتها؟,4,الشعور عند القيام بأشطة مرغوبة,رغباتك ونشاطاتك الي بتجبلك الشعادة كيف بكون مزاجك لما تعملها؟
كيف تجد رغبتك عند القيام بنشاطات أو أعمال تفضلها؟,4,الشعور عند القيام بأشطة مرغوبة,كيف بتلاقي رغبتك لما تعمل نشاطات أو اعمال بتفضلها؟
صف لي كيف تكون حالتك النفسية عند القيام بمهام تفضلها؟,4,الشعور عند القيام بأشطة مرغوبة,وصفلي كيف حالتك النفسية لما تعمل مهام بتحبها؟
كيف تجد مشاعرك عند تواصلك مع الآخرين؟,5,الشعور عند التواصل مع الآخرين,وضحلي كيف بتشوف حالك بس تتواصل مع الناس؟
 ماهو شعورك عند التواصل مع الآخرين؟,5,الشعور عند التواصل مع الآخرين,شو بتحس لما تحاول تتواصل مع غيرك؟
كيف يؤثر تواصلك مع الآخرين على مزاجك؟,5,الشعور عند التواصل مع الآخرين,كيف بأثر تواصلك مع الناس على مزاجك؟
وضح لي مشاعرك تجاه الحياة؟,6,الشعور تجاه الحياة,اشرحلي مشاعرك تجاه الحياة
ماهي نظرتك للحياة؟,6,الشعور تجاه الحياة,شو هيي نظرتك للحياة؟
ماهو شعورك عند التفكير بالحياة؟,6,الشعور تجاه الحياة,شو بتحس لما بتفكر بالحياة؟
ما هي نظرتك لنفسك؟,7,الشعور تجاه الذات,كيف بتنظر لنفسك؟
ماهو رأيك حيال ذاتك؟,7,الشعور تجاه الذات,شو رأيك تجاه نفسك؟
كيف هي مشاعرك حيال  ذاتك؟,7,الشعور تجاه الذات,شو هيي مشاعرك تجاه ذاتك؟
التفكير الزائد من الاعراض التي ترتبط بالاضطرابات النفسية، لذلك اذا كنت تعتقد ان تفكر كثيرا صف لي حالتك.,9,التفكير الزائد,التفكير الزايد بيتعلق بالاضطرابات النفسية، اذا كنت عم تفكر زيادة بدي تحكيلي عن هالشي اكتر 
اذا كنت تعتقد انك تفكر كثيرا تجاه الأمور التي تتعرض لها يجب ان تصف لي كيف تفكر.,9,التفكير الزائد,اذا عم تفكر كتير بالامور يلي عم تصير معك بدي تشرحلي اكتر
كيف تجد تفكيرك بالأحداث التي تمر بها؟ هل تفكر كثير؟,9,التفكير الزائد,كيف بتشوف تفكيرك مع الاحداث يلي بتمر فيها؟ بتفكر كتير؟
الاضطرابات النفسية غالبا ما يرافقها هواجس وتوترات، كيف تنظر لنفسك من هذه الناحية؟,8,الهواجس والتوتر,الاضطرابات النفسية برافقها هواجس وهلوسات كيف بتشوف حالك من هالناحية
إذا تعرضت لهواجس وتوترات مسبقا اشرح لي ماهية هذه الهواجس.,8,الهواجس والتوتر,اذا عم تتعرض لهواجس بالفترة الاخيرة اشرحلي عن نوع هذه الهواجس
ان كنت تتعرض لهواجس وتوترات، تحدث عن تأثيرها على ذاتك.,8,الهواجس والتوتر,اذا كان في هواجس عم تتعرضلا بدي تحكيلي شو تاثيرها عليك 
كيف تجد صحتك الجسدية في حال كنت تعاني من آلام بدون سبب واضح؟ اذكر لي ما هي هذه الآلام؟,10,الصحة الجسدية,كيف شايف صحتك الجسدية بحال كنت عم تعاني من آلام دون سبب واضح؟ اذكرلي هالآلام
صحتك الجسدية أمر مهم في تشخيص حالتك النفسية، يمكنك أن تصف ذلك إذا كنت تعاني من مشاكل جسدية.,10,الصحة الجسدية,صحتك الجسدية مهمة بتشخيص حالتك النفسية، اذكر لي مشاكلك الجسدية الي عم تعاني منها
قد تتسبب الاضطرابات النفسية بأوجاع جسدية، إذا كنت تعاني من مشاكل جسدية عليك توضيحها لي.,10,الصحة الجسدية,ممكن الأمراض النفسية تسبب أوجاع جسدية، إذا كنت عم تعاني من جسدية ممكن توضحلي ياها
الاضطرابات النفسية تتعلق بشكل كبير بالآلام الجسدية، كيف تصف صحتك الجسدية؟,10,الصحة الجسدية,الإضطرابات النفسية الها علاقة بالأوجاع الجسدية، إذا كنت عم تعاني من مشاكل جسدية ممكن توضحلي ياها
